"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2020","11,667.7","11,618.5","11,716.9","11,569.2","3.78M","0.42%"
"02/10/2020","11,618.5","11,716.9","11,766.2","11,520.0","2.58M","-0.84%"
"02/07/2020","11,716.9","11,815.4","11,864.6","11,618.5","4.08M","-0.83%"
"02/06/2020","11,815.4","11,372.3","11,815.4","11,323.1","6.06M","4.35%"
"02/05/2020","11,323.1","11,520.0","11,569.2","11,273.8","5.67M","-0.86%"
"02/04/2020","11,421.5","11,273.8","11,421.5","11,076.9","4.87M","2.65%"
"02/03/2020","11,126.2","10,978.5","11,323.1","10,683.1","9.00M","-1.74%"
"01/31/2020","11,323.1","11,569.2","11,716.9","11,273.8","8.62M","-2.54%"
"01/30/2020","11,618.5","11,913.8","11,963.1","11,421.5","8.63M","-3.67%"
"01/22/2020","12,061.5","12,110.8","12,110.8","11,963.1","3.20M","0.00%"
"01/21/2020","12,061.5","12,061.5","12,160.0","11,963.1","3.61M","0.82%"
"01/20/2020","11,963.1","11,716.9","12,160.0","11,716.9","9.03M","2.10%"
"01/17/2020","11,716.9","11,815.4","11,864.6","11,667.7","5.50M","-0.42%"
"01/16/2020","11,766.2","11,470.8","11,815.4","11,470.8","5.73M","2.58%"
"01/15/2020","11,470.8","11,569.2","11,569.2","11,421.5","2.35M","-0.85%"
"01/14/2020","11,569.2","11,273.8","11,569.2","11,273.8","5.79M","2.62%"
"01/13/2020","11,273.8","11,273.8","11,273.8","11,175.4","3.09M","0.88%"
"01/10/2020","11,175.4","11,076.9","11,372.3","11,076.9","4.82M","1.34%"
"01/09/2020","11,027.7","10,929.2","11,126.2","10,929.2","2.89M","1.36%"
"01/08/2020","10,880.0","11,076.9","11,076.9","10,830.8","4.68M","-1.78%"
"01/07/2020","11,076.9","11,076.9","11,175.4","11,076.9","2.13M","0.00%"
"01/06/2020","11,076.9","11,323.1","11,323.1","11,076.9","2.61M","-2.17%"
"01/03/2020","11,323.1","11,323.1","11,421.5","11,273.8","2.14M","0.00%"
"01/02/2020","11,323.1","11,224.6","11,323.1","11,175.4","2.36M","0.88%"
"12/31/2019","11,224.6","11,175.4","11,273.8","11,076.9","3.35M","0.44%"
"12/30/2019","11,175.4","11,175.4","11,273.8","11,126.2","2.78M","0.00%"
"12/27/2019","11,175.4","11,126.2","11,175.4","11,076.9","1.84M","0.44%"
"12/26/2019","11,126.2","11,224.6","11,224.6","11,126.2","1.82M","-1.31%"
"12/25/2019","11,273.8","11,224.6","11,273.8","11,126.2","2.28M","0.88%"
"12/24/2019","11,175.4","11,273.8","11,273.8","11,175.4","1.67M","-0.44%"
"12/23/2019","11,224.6","11,175.4","11,323.1","11,175.4","3.63M","0.44%"
